386606,,,387294,,,386696,,,232818,,,386608,,
x1,x2,y,x1,x2,y,x1,x2,y,x1,x2,y,x1,x2,y
5.25,10℃,17.1,5.25,10℃,12.4,5.25,10℃,15.3,5.25,10℃,16.3,5.25,10℃,15.2
5.25,15℃,21.7,5.25,15℃,19.5,5.25,15℃,22.6,5.25,15℃,23.6,5.25,15℃,23.4
5.25,20℃,32.6,5.25,20℃,33.1,5.25,20℃,31.4,5.25,20℃,36.44,5.25,20℃,31.2
5.25,25℃,60.3,5.25,25℃,34.75,5.25,25℃,45.8,5.25,25℃,67.11,5.25,25℃,54.5
5.25,30℃,43.7,5.25,30℃,30.4,5.25,30℃,36.6,5.25,30℃,30.1,5.25,30℃,45.4
5.25,35℃,13.1,5.25,35℃,0,5.25,35℃,0,5.25,35℃,0,5.25,35℃,13.1
5.25,40℃,0,5.25,40℃,0,5.25,40℃,0,5.25,40℃,0,5.25,40℃,0
5.26,5℃,9.5,5.26,5℃,8.6,5.26,5℃,11.1,5.26,5℃,7.9,5.26,5℃,9.38
5.26,10℃,18,5.26,10℃,13.2,5.26,10℃,15.9,5.26,10℃,16.4,5.26,10℃,15.8
5.26,15℃,22,5.26,15℃,21.1,5.26,15℃,23.7,5.26,15℃,25.1,5.26,15℃,25
5.26,20℃,33.88,5.26,20℃,35.3,5.26,20℃,33.5,5.26,20℃,38.13,5.26,20℃,33.38
5.26,25℃,66.7,5.26,25℃,37,5.26,25℃,47.7,5.26,25℃,71.33,5.26,25℃,57.38
5.26,30℃,46,5.26,30℃,31.9,5.26,30℃,38.4,5.26,30℃,31,5.26,30℃,47.3
5.26,35℃,14.3,5.26,35℃,0,5.26,35℃,0,5.26,35℃,0,5.26,35℃,13.9
5.26,40℃,0,5.26,40℃,0,5.26,40℃,0,5.26,40℃,0,5.26,40℃,0
5.27,5℃,10.5,5.27,5℃,9.1,5.27,5℃,12,5.27,5℃,8.5,5.27,5℃,9.75
5.27,10℃,17.9,5.27,10℃,17.83,5.27,10℃,16.75,5.27,10℃,17.8,5.27,10℃,16.5
5.27,15℃,23.9,5.27,15℃,23.13,5.27,15℃,25,5.27,15℃,26.75,5.27,15℃,25.9
5.27,20℃,35.25,5.27,20℃,37.4,5.27,20℃,35.7,5.27,20℃,43.25,5.27,20℃,34.4
5.27,25℃,69.5,5.27,25℃,39.88,5.27,25℃,50.75,5.27,25℃,75.2,5.27,25℃,61.25
5.27,30℃,47.7,5.27,30℃,34,5.27,30℃,40.1,5.27,30℃,33.25,5.27,30℃,50
5.27,35℃,16.3,5.27,35℃,0,5.27,35℃,0,5.27,35℃,0,5.27,35℃,14.6
5.27,40℃,0,5.27,40℃,0,5.27,40℃,0,5.27,40℃,0,5.27,40℃,0
5.3,5℃,12.2,5.3,5℃,11.6,5.3,5℃,13.5,5.3,5℃,10.2,5.3,5℃,11.75
5.3,10℃,19.1,5.3,10℃,17.5,5.3,10℃,18,5.3,10℃,19.75,5.3,10℃,19.4
5.3,15℃,26.7,5.3,15℃,28.5,5.3,15℃,28.88,5.3,15℃,31.25,5.3,15℃,30
5.3,20℃,40.63,5.3,20℃,43.3,5.3,20℃,42.7,5.3,20℃,50.25,5.3,20℃,40
5.3,25℃,81.75,5.3,25℃,47.88,5.3,25℃,57.88,5.3,25℃,85,5.3,25℃,71.75
5.3,30℃,55.5,5.3,30℃,40.2,5.3,30℃,46.88,5.3,30℃,40.17,5.3,30℃,58.5
5.3,35℃,17.3,5.3,35℃,0,5.3,35℃,0,5.3,35℃,0,5.3,35℃,18.5
5.3,40℃,0,5.3,40℃,0,5.3,40℃,0,5.3,40℃,0,5.3,40℃,0
6.1,5℃,12.9,6.1,5℃,12.7,6.1,5℃,14.5,6.1,5℃,10.7,6.1,5℃,11.88
6.1,10℃,20.5,6.1,10℃,18.67,6.1,10℃,19.17,6.1,10℃,21.25,6.1,10℃,20.6
6.1,15℃,29.75,6.1,15℃,33.63,6.1,15℃,31.5,6.1,15℃,34.17,6.1,15℃,34.88
6.1,20℃,44.75,6.1,20℃,47.2,6.1,20℃,46.7,6.1,20℃,54,6.1,20℃,40
6.1,25℃,79,6.1,25℃,54.75,6.1,25℃,62.33,6.1,25℃,87,6.1,25℃,74.83
6.1,30℃,62.5,6.1,30℃,45.1,6.1,30℃,51.13,6.1,30℃,45.17,6.1,30℃,66.8
6.1,35℃,19.75,6.1,35℃,0,6.1,35℃,0,6.1,35℃,0,6.1,35℃,21.1
6.1,40℃,0,6.1,40℃,0,6.1,40℃,0,6.1,40℃,0,6.1,40℃,0
